trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2013-12-31,,,,1000.0,,,,5902095.48,5741520.213
2014-01-02,,,,997.1694,1000.0,-2.8306,-0.2831,5518201.27,5374519.891
2014-01-03,,,,983.8806,997.1694,-13.2888,-1.3327,6943913.01,6668177.379
2014-01-06,,,,954.2095,983.8806,-29.6711,-3.0157,7477349.35,6737458.582
2014-01-07,,,,953.0437,954.2095,-1.1658,-0.1222,5865523.08,5680472.032
2014-01-08,,,,951.0168,953.0437,-2.0269,-0.2127,6310285.21,6241747.156
2014-01-09,,,,939.0182,951.0168,-11.9986,-1.2617,6363576.9,6067777.769
2014-01-10,,,,936.168,939.0182,-2.8502,-0.3035,5595797.77,5112980.684
2014-01-13,,,,934.4549,936.168,-1.7131,-0.183,4981999.85,4784229.365
2014-01-14,,,,947.2925,934.4549,12.8376,1.3738,5394248.09,5122356.158
2014-01-15,,,,947.5678,947.2925,0.2753,0.0291,5529716.69,5673989.7
2014-01-16,,,,952.2297,947.5678,4.6619,0.492,6066214.3,5733413.783
2014-01-17,,,,940.8488,952.2297,-11.3809,-1.1952,4986851.51,4861567.836
2014-01-20,,,,934.0808,940.8488,-6.768,-0.7194,4490393.29,4296367.425
2014-01-21,,,,947.0273,934.0808,12.9465,1.386,5045462.16,4928038.331
2014-01-22,,,,969.0903,947.0273,22.063,2.3297,6967988.94,6796671.034
2014-01-23,,,,970.7763,969.0903,1.686,0.174,6363586.28,6476617.544
2014-01-24,,,,978.7259,970.7763,7.9496,0.8189,7357190.6,7009603.583
2014-01-27,,,,970.2754,978.7259,-8.4505,-0.8634,7369393.51,7058891.211
2014-01-28,,,,968.2078,970.2754,-2.0676,-0.2131,5699508.88,5376685.15
2014-01-29,,,,975.1351,968.2078,6.9273,0.7155,5777836.03,5642284.962
2014-01-30,,,,967.5078,975.1351,-7.6273,-0.7822,4314883.8,4115159.052
2014-02-07,,,,975.5134,967.5078,8.0056,0.8274,5454329.31,5179979.797
2014-02-10,,,,997.4395,975.5134,21.9261,2.2476,9777396.32,9658796.589
2014-02-11,,,,1001.9228,997.4395,4.4833,0.4495,10877483.79,11047173.283
2014-02-12,,,,1004.2969,1001.9228,2.3741,0.237,10108939.49,10132974.935
2014-02-13,,,,994.6171,1004.2969,-9.6798,-0.9638,10515383.78,10244929.578
2014-02-14,,,,1008.6931,994.6171,14.076,1.4152,9319065.59,8875991.543
2014-02-17,,,,1015.5165,1008.6931,6.8234,0.6765,12468060.22,11645629.664
2014-02-18,,,,1007.8138,1015.5165,-7.7027,-0.7585,11624640.71,11028227.039
2014-02-19,,,,1014.5344,1007.8138,6.7206,0.6668,11092568.01,10426470.474
2014-02-20,,,,1012.2226,1014.5344,-2.3118,-0.2279,12657059.38,11478510.47
2014-02-21,,,,996.3821,1012.2226,-15.8405,-1.5649,9109328.97,8391344.955
2014-02-24,,,,976.1873,996.3821,-20.1948,-2.0268,9437150.7,9478762.846
2014-02-25,,,,954.3432,976.1873,-21.8441,-2.2377,12277782.5,12007613.688
2014-02-26,,,,958.8154,954.3432,4.4722,0.4686,9557866.39,9327302.44
2014-02-27,,,,959.9902,958.8154,1.1748,0.1225,11672449.85,11372702.918
2014-02-28,,,,970.7682,959.9902,10.778,1.1227,10499396.26,9583072.8
2014-03-03,,,,987.6561,970.7682,16.8879,1.7396,12555115.23,11343786.097
2014-03-04,,,,978.4849,987.6561,-9.1712,-0.9286,10445922.19,10064906.009
2014-03-05,,,,973.0324,978.4849,-5.4525,-0.5572,10461925.6,9636243.171
2014-03-06,,,,968.731,973.0324,-4.3014,-0.4421,9777628.8,9091985.738
2014-03-07,,,,962.3414,968.731,-6.3896,-0.6596,9123696.63,8624988.434
2014-03-10,,,,930.0951,962.3414,-32.2463,-3.3508,9850065.29,8977175.759
2014-03-11,,,,930.9801,930.0951,0.885,0.0952,8065956.24,7677653.886
2014-03-12,,,,932.3746,930.9801,1.3945,0.1498,8336819.52,8093767.738
2014-03-13,,,,943.9206,932.3746,11.546,1.2383,8701888.68,7678626.023
2014-03-14,,,,936.2665,943.9206,-7.6541,-0.8109,7729294.65,7109321.934
2014-03-17,,,,948.849,936.2665,12.5825,1.3439,7310638.46,7034405.641
2014-03-18,,,,955.5368,948.849,6.6878,0.7048,8334392.11,7511875.599
2014-03-19,,,,955.4261,955.5368,-0.1107,-0.0116,7802623.03,6762046.98
2014-03-20,,,,938.0913,955.4261,-17.3348,-1.8144,8381255.36,7478777.885
2014-03-21,,,,965.2235,938.0913,27.1322,2.8923,10126122.46,8770399.215
2014-03-24,,,,974.6643,965.2235,9.4408,0.9781,10748889.0,8980507.911
2014-03-25,,,,985.3951,974.6643,10.7308,1.101,11906755.21,9734488.146
2014-03-26,,,,980.8198,985.3951,-4.5753,-0.4643,8268699.13,7190167.877
2014-03-27,,,,971.7604,980.8198,-9.0594,-0.9237,8548914.59,7603237.743
2014-03-28,,,,971.1265,971.7604,-0.6339,-0.0652,9629253.56,8452951.196
2014-03-31,,,,969.8742,971.1265,-1.2523,-0.129,7797682.18,6501158.042
2014-04-01,,,,978.1695,969.8742,8.2953,0.8553,6890864.08,5954288.496
