trade_date,open,high,low,close,change,pct_chg,vol,amount
2012-12-31,,,,1000.0,,,,
2013-01-04,1008.4758,1008.6786,987.8948,996.8178,-3.1822,-0.32,841.84,89.92
2013-01-07,995.1644,1007.3096,994.5364,1002.3926,5.5748,0.56,719.67,80.94
2013-01-08,1002.0793,1006.0406,991.7676,1002.7489,0.3563,0.04,825.82,87.39
2013-01-09,1001.7286,1009.7967,997.9984,1009.6756,6.9267,0.69,873.82,93.31
2013-01-10,1009.6845,1018.9541,1004.2131,1010.125,0.4494,0.04,726.25,71.57
2013-01-11,1012.0856,1012.6844,985.1175,988.5663,-21.5587,-2.13,733.23,76.29
2013-01-14,983.0587,1015.0206,983.0587,1013.3235,24.7572,2.5,958.01,113.71
2013-01-15,1013.3821,1024.0965,1012.7865,1021.78,8.4565,0.83,1200.72,129.38
2013-01-16,1020.0813,1024.3401,1003.3245,1014.3441,-7.4359,-0.73,1095.73,116.69
2013-01-17,1012.6478,1016.9556,1003.1544,1007.9313,-6.4128,-0.63,762.92,83.45
2013-01-18,1018.0442,1022.8276,1006.4276,1021.9398,14.0085,1.39,850.99,93.73
2013-01-21,1021.536,1034.6711,1016.4896,1033.5111,11.5713,1.13,999.01,114.25
2013-01-22,1028.2961,1029.5562,1013.7357,1019.2718,-14.2393,-1.38,957.11,107.94
2013-01-23,1015.8589,1021.9136,1005.7377,1018.0477,-1.2241,-0.12,787.12,83.4
2013-01-24,1018.1812,1029.9294,992.9194,999.5949,-18.4528,-1.81,964.57,104.22
2013-01-25,1002.2691,1004.9828,997.0735,999.9956,0.4007,0.04,613.66,71.47
2013-01-28,1005.9152,1023.0857,1002.8319,1023.0857,23.0901,2.31,872.23,110.68
2013-01-29,1024.1088,1029.0494,1022.4702,1027.7197,4.634,0.45,839.33,99.74
2013-01-30,1029.8159,1032.226,1022.333,1031.0249,3.3052,0.32,866.55,94.03
2013-01-31,1031.752,1034.5522,1025.6413,1031.7184,0.6935,0.07,890.99,91.87
2013-02-01,1027.8034,1040.2712,1026.6104,1040.0931,8.3747,0.81,894.89,91.31
2013-02-04,1045.2046,1051.5112,1035.7589,1047.4696,7.3765,0.71,1081.43,121.27
2013-02-05,1043.3399,1061.7338,1042.952,1061.7338,14.2642,1.36,1001.85,114.35
2013-02-06,1060.596,1063.3,1056.7199,1059.333,-2.4008,-0.23,730.56,83.78
2013-02-07,1058.4537,1059.8778,1050.1212,1057.4265,-1.9065,-0.18,701.79,81.39
2013-02-08,1060.8654,1073.4325,1060.8654,1069.5993,12.1728,1.15,739.61,87.87
2013-02-18,1073.7952,1075.6391,1062.7722,1071.753,2.1537,0.2,965.68,96.66
2013-02-19,1070.927,1072.2446,1045.0493,1047.9929,-23.7601,-2.22,888.03,90.84
2013-02-20,1049.935,1061.2918,1047.6998,1061.2918,13.2989,1.27,706.65,80.15
2013-02-21,1045.1519,1047.9462,1024.2853,1030.1055,-31.1863,-2.94,1166.35,124.99
2013-02-22,1030.8153,1037.3494,1026.3333,1028.1121,-1.9934,-0.19,687.74,82.26
2013-02-25,1033.8594,1039.9314,1027.8034,1033.9542,5.8421,0.57,586.35,65.92
2013-02-26,1027.5149,1031.4703,1012.0956,1013.6843,-20.2699,-1.96,758.9,83.43
2013-02-27,1019.7244,1023.2054,1007.3105,1015.6095,1.9252,0.19,598.27,65.89
2013-02-28,1021.3238,1040.1727,1017.8394,1040.0854,24.4759,2.41,763.21,85.6
2013-03-01,1039.3429,1043.5071,1029.1326,1043.1935,3.1081,0.3,768.8,91.69
2013-03-04,1029.0061,1032.5497,997.3522,1003.9598,-39.2337,-3.76,1050.71,118.73
2013-03-05,1007.217,1017.2798,1001.8883,1017.2798,13.32,1.33,813.0,90.57
2013-03-06,1023.2351,1033.8527,1019.7092,1033.8527,16.5729,1.63,925.16,108.11
2013-03-07,1027.2046,1042.8982,1020.772,1029.4722,-4.3805,-0.42,916.54,108.6
2013-03-08,1029.4993,1036.592,1023.0823,1023.393,-6.0792,-0.59,633.45,78.55
2013-03-11,1021.8901,1025.1467,1013.9751,1019.9848,-3.4082,-0.33,640.54,70.96
2013-03-12,1017.5937,1027.7078,993.8539,1002.3571,-17.6277,-1.73,813.17,85.56
2013-03-13,1001.482,1003.4519,984.858,991.4603,-10.8968,-1.09,559.54,59.03
2013-03-14,986.9367,1004.779,986.5618,1004.6394,13.1791,1.33,520.88,61.34
2013-03-15,1002.1198,1019.9458,992.7866,1007.2966,2.6572,0.26,826.3,94.47
2013-03-18,1000.6628,1004.5219,990.8236,991.4125,-15.8841,-1.58,621.21,74.33
2013-03-19,992.8522,998.2246,986.5102,997.0085,5.596,0.56,591.68,72.52
2013-03-20,997.3366,1017.3925,995.719,1017.3925,20.384,2.04,776.54,90.11
2013-03-21,1016.1001,1020.7126,1011.6774,1017.6182,0.2257,0.02,671.98,79.91
2013-03-22,1018.4938,1027.6892,1015.9089,1025.926,8.3078,0.82,656.46,71.77
2013-03-25,1027.0186,1029.7732,1017.2678,1018.6743,-7.2517,-0.71,599.35,66.29
2013-03-26,1012.9705,1016.6592,997.2554,1005.5266,-13.1477,-1.29,654.82,76.08
2013-03-27,1007.1759,1014.714,997.6072,1002.647,-2.8796,-0.29,588.45,73.45
2013-03-28,991.9518,991.9518,981.1891,984.3487,-18.2983,-1.82,722.85,86.05
2013-03-29,987.8554,990.2907,980.1593,980.5696,-3.7791,-0.38,419.48,52.37
2013-04-01,975.9709,983.2062,975.1356,979.1278,-1.4418,-0.15,490.6,54.54
2013-04-02,980.3008,989.0664,976.2417,978.7107,-0.4171,-0.04,593.18,63.73
2013-04-03,982.4312,982.4312,972.6657,976.5191,-2.1916,-0.22,526.56,59.61
2013-04-08,961.9158,971.5916,956.9863,971.4236,-5.0955,-0.52,638.63,64.9
2013-04-09,973.9332,982.0416,972.1075,975.889,4.4654,0.46,669.81,70.63
2013-04-10,975.8798,976.2387,966.2155,974.8294,-1.0596,-0.11,634.56,68.66
2013-04-11,980.9896,980.9896,970.6821,972.3301,-2.4993,-0.26,591.13,61.39
2013-04-12,971.4666,975.6935,966.2022,967.178,-5.1521,-0.53,559.41,58.72
2013-04-15,965.3538,965.5462,951.3557,953.3524,-13.8256,-1.43,604.14,58.3
2013-04-16,946.1239,953.5969,943.9583,952.0325,-1.3199,-0.14,641.56,66.21
2013-04-17,951.7291,956.9909,949.8157,956.7553,4.7228,0.5,567.43,63.97
2013-04-18,951.6493,963.4339,951.6493,959.7364,2.9811,0.31,535.8,60.25
2013-04-19,962.1574,983.3368,961.3066,979.6076,19.8712,2.07,895.33,92.34
2013-04-22,979.3327,980.3847,972.4883,977.5507,-2.0569,-0.21,766.18,86.26
2013-04-23,974.2739,974.3246,951.4084,952.5654,-24.9853,-2.56,736.99,80.34
2013-04-24,954.4651,966.1283,949.7357,963.9041,11.3387,1.19,776.77,84.74
2013-04-25,958.5139,962.3101,949.0634,952.0436,-11.8605,-1.23,731.99,80.29
2013-04-26,956.3005,956.3005,939.7351,940.9741,-11.0695,-1.16,638.87,67.79
2013-05-02,937.1947,939.6352,933.0309,937.2826,-3.6915,-0.39,600.65,66.82
2013-05-03,941.9973,958.3496,940.6097,950.9419,13.6593,1.46,761.6,79.61
2013-05-06,956.4584,967.2971,954.0689,965.5706,14.6287,1.54,794.87,84.23
2013-05-07,963.539,973.3065,962.0278,973.3065,7.7359,0.8,743.2,87.61
2013-05-08,976.0881,980.2012,971.7435,975.1101,1.8036,0.19,831.52,92.57
2013-05-09,975.5376,978.0997,966.1768,971.7687,-3.3414,-0.34,1062.85,114.8
2013-05-10,968.1599,976.8202,966.9934,975.3333,3.5646,0.37,942.23,99.22
2013-05-13,977.7012,978.1487,969.6959,974.1365,-1.1968,-0.12,781.01,83.56
2013-05-14,972.787,972.787,954.8554,960.5446,-13.5919,-1.4,814.72,88.28
2013-05-15,960.7993,964.3989,959.1529,964.3989,3.8543,0.4,717.55,75.73
2013-05-16,959.0569,972.42,956.4505,972.42,8.0211,0.83,939.55,96.94
2013-05-17,972.1827,993.3003,972.1827,991.3443,18.9243,1.95,1204.97,120.36
2013-05-20,992.0892,999.0215,988.5065,995.4081,4.0638,0.41,1168.72,127.73
2013-05-21,994.6412,998.0258,989.4544,997.9839,2.5758,0.26,1122.56,118.69
2013-05-22,994.8747,997.186,986.5745,990.8519,-7.132,-0.71,1202.52,125.8
2013-05-23,986.1112,995.3617,981.2335,981.9077,-8.9442,-0.9,1132.62,114.05
2013-05-24,987.008,987.9445,975.8946,984.8597,2.952,0.3,904.1,96.65
2013-05-27,984.2531,989.8261,981.3293,985.7529,0.8932,0.09,978.57,107.79
2013-05-28,984.74,996.6474,977.7982,996.6474,10.8945,1.11,1124.43,123.2
2013-05-29,998.3143,1002.5444,996.0632,999.8425,3.1951,0.32,1026.03,110.98
2013-05-30,998.2569,1000.9987,991.7548,996.4566,-3.3859,-0.34,1052.97,117.09
2013-05-31,997.6595,998.8583,987.1328,987.3637,-9.0929,-0.91,1037.27,112.3
2013-06-03,988.3928,995.1486,985.1517,987.208,-0.1557,-0.02,1041.04,113.04
2013-06-04,983.3924,983.89,965.8724,969.4489,-17.7591,-1.8,1055.09,105.98
2013-06-05,966.2234,967.7038,961.4159,965.6172,-3.8317,-0.4,705.65,74.11
2013-06-06,961.8997,965.8993,954.3418,955.2774,-10.3398,-1.07,663.38,67.47
2013-06-07,956.9709,958.1149,936.1431,938.3801,-16.8973,-1.77,765.63,75.37
2013-06-13,923.6077,923.6077,893.8431,902.5963,-35.7838,-3.81,803.36,77.54
2013-06-14,905.18,905.18,899.4574,904.3582,1.7619,0.2,664.7,68.76
2013-06-17,904.6327,904.7478,892.4008,896.395,-7.9632,-0.88,677.7,71.07
2013-06-18,898.3504,898.3504,885.6289,894.0382,-2.3568,-0.26,745.94,70.78
2013-06-19,885.7972,892.8391,871.6771,892.8391,-1.1991,-0.13,807.26,74.03
2013-06-20,883.1496,885.8819,868.6948,869.2076,-23.6315,-2.65,691.9,67.66
2013-06-21,853.2552,869.9134,851.863,865.6683,-3.5393,-0.41,683.06,67.4
2013-06-24,861.8718,861.8718,817.2694,820.2018,-45.4665,-5.25,926.01,83.87
2013-06-25,809.3504,819.6159,763.019,816.497,-3.7048,-0.45,1179.88,101.02
2013-06-26,810.531,820.8258,802.8733,812.7621,-3.7349,-0.46,826.92,74.91
2013-06-27,818.3035,827.453,810.0583,810.0583,-2.7038,-0.33,979.38,89.16
2013-06-28,803.1905,825.6906,801.8993,814.3937,4.3354,0.54,819.85,73.19
2013-07-01,806.3331,815.0655,801.4821,815.0151,0.6214,0.08,681.24,58.53
2013-07-02,814.6212,820.5898,811.1674,820.5898,5.5747,0.68,720.22,66.32
2013-07-03,816.2603,818.8164,805.519,817.2522,-3.3376,-0.41,797.68,72.98
2013-07-04,809.35,833.4574,806.8846,828.3682,11.116,1.36,975.3,86.88
