trade_date,open,high,low,close,volume
2025-03-23,6662.5,6714.96,6658.69,6709.46,
2025-03-24,6709.46,6755.81,6699.95,6736.15,
2025-03-25,6736.15,6747.84,6708.81,6733.39,
2025-03-26,6733.39,6733.39,6698.26,6714.19,
2025-03-27,6714.19,6714.19,6638.36,6662.37,
2025-03-30,6662.37,6722.76,6653.42,6672.07,
2025-03-31,6677.4,6700.45,6665.85,6682.18,
2025-04-01,6682.18,6687.83,6646.42,6659.4,
2025-04-02,6659.4,6659.4,6577.6,6615.53,
2025-04-06,6615.53,6615.53,6048.52,6125.63,
2025-04-07,6125.63,6354.93,6125.63,6354.93,
2025-04-08,6354.93,6385.71,6211.2,6385.71,
2025-04-09,6385.71,6443.62,6368.53,6417.26,
2025-04-10,6417.26,6419.41,6338.19,6362.62,
2025-04-13,6362.62,6425.13,6361.66,6417.78,
2025-04-14,6417.78,6446.57,6391.37,6443.91,
2025-04-15,6443.91,6483.53,6391.75,6481.07,
2025-04-16,6481.07,6481.07,6432.28,6475.96,
2025-04-17,6475.96,6497.41,6448.64,6480.5,
2025-04-20,6480.5,6482.65,6449.57,6469.69,
2025-04-21,6469.69,6495.54,6454.98,6478.02,
2025-04-22,6478.02,6510.78,6477.63,6479.26,
2025-04-23,6479.26,6521.64,6473.68,6496.27,
2025-04-24,6496.27,6502.62,6469.12,6479.38,
2025-04-27,6479.38,6505.98,6439.19,6487.85,
2025-04-28,6487.85,6501.74,6467.02,6475.07,
2025-04-29,6475.07,6486.82,6448.9,6448.9,
2025-05-05,6448.9,6490.59,6426.69,6489.21,
2025-05-06,6489.21,6571.07,6489.21,6528.94,
2025-05-07,6530.07,6562.17,6493.51,6537.95,
2025-05-08,6537.95,6563.19,6533.92,6552.53,
2025-05-11,6553.9,6603.93,6553.9,6600.29,
2025-05-12,6600.29,6638.54,6600.29,6620.57,
2025-05-13,6620.57,6697.97,6608.05,6683.04,
2025-05-14,6683.21,6694.19,6646.57,6649.01,
2025-05-15,6649.01,6649.31,6588.75,6606.2,
2025-05-18,6607.62,6622.25,6592.83,6611.8,
2025-05-19,6611.8,6643.65,6611.8,6628.1,
2025-05-20,6628.1,6714.54,6628.1,6700.77,
2025-05-21,6701.62,6713.37,6675.12,6696.15,
2025-05-22,6698.13,6739.68,6643.04,6643.04,
2025-05-25,6643.04,6663.0,6612.83,6631.71,
2025-05-26,6631.71,6656.33,6606.83,6611.47,
2025-05-27,6611.47,6688.01,6611.47,6668.0,
2025-05-28,6668.0,6703.18,6663.16,6687.68,
2025-05-29,6689.14,6699.82,6655.65,6681.52,
2025-06-02,6681.52,6690.86,6626.08,6642.5,
2025-06-03,6642.5,6658.2,6633.38,6648.24,
2025-06-04,6648.24,6669.76,6629.68,6640.47,
2025-06-05,6642.45,6684.94,6638.02,6669.54,
2025-06-08,6669.54,6700.11,6653.07,6697.05,
2025-06-09,6697.05,6722.51,6654.04,6682.28,
2025-06-10,6682.76,6731.99,6682.76,6720.6,
2025-06-11,6756.5,6756.9,6691.02,6695.59,
2025-06-12,6702.02,6740.6,6674.27,6698.01,
2025-06-15,6698.01,6707.74,6661.73,6677.89,
2025-06-16,6678.56,6725.14,6666.87,6717.17,
2025-06-17,6717.85,6758.24,6700.08,6703.73,
2025-06-18,6703.73,6706.23,6631.85,6664.99,
2025-06-19,6671.93,6691.54,6645.08,6668.72,
2025-06-22,6668.72,6680.24,6635.66,6655.49,
2025-06-23,6656.45,6715.97,6635.27,6691.43,
2025-06-24,6692.45,6731.65,6668.88,6724.85,
2025-06-25,6732.3,6764.15,6722.49,6737.31,
2025-06-26,6751.81,6797.89,6743.81,6759.39,
2025-06-29,6760.99,6778.98,6746.06,6766.11,
2025-06-30,6766.11,6791.65,6736.53,6790.5,
2025-07-01,6790.5,6875.39,6790.5,6874.33,
