ts_code,name,market,publisher,category,base_date,list_date,score
888888R.FI,富时中国A股自由现金流聚焦全收益指数,OTH,FTSE,策略指数,20131231,20240729,300
888888.FI,富时中国A股自由现金流聚焦指数,OTH,FTSE,策略指数,20131231,20240729,80
SPAHCFHT.SPI,标普港股通自由现金流50全收益(港币),OTH,标准普尔公司,策略指数,20110131,20250324,40
SPAHCFHP.SPI,标普港股通自由现金流50(港币),OTH,标准普尔公司,策略指数,20110131,20250324,20
SP5QFAUP.SPI,标普500优质自由现金流精选指数,OTH,标准普尔公司,策略指数,20010420,20240923,20
SPDQFAUP.SPI,标普发达市场质量自由现金流贵族指数,OTH,标准普尔公司,策略指数,20060421,20240923,20
SPNFCFUP.SPI,标普500行业中性自由现金流,OTH,标准普尔公司,策略指数,20230530,20230530,20
SPNFCFUT.SPI,标普500行业中性自由现金流总回报指数,OTH,标准普尔公司,策略指数,19990416,20230530,20
SPDV5UP.SPI,标普500股息和自由现金流收益率,OTH,标准普尔公司,策略指数,19900731,20171002,20
SPEMDVUP.SPI,标普新兴市场股息及自由现金流收益率指数,OTH,标准普尔公司,策略指数,20000131,20171002,20
SPDUDFUP.SPI,标普发达市场(除美国)股息和自由现金流量(退市),OTH,标准普尔公司,策略指数,19950731,20081231,20
CBM01901.CS,中债-红利自由现金流低波股债金恒定比例10/85/5(全收益)指数,OTH,中央国债登记结算有限责任公司,其他,20151231,20251105,-40
CBM01201.CS,中债-红利自由现金流低波股债恒定比例5/95(全收益)指数,OTH,中央国债登记结算有限责任公司,其他,20151231,20250725,-40
CBM01301.CS,中债-红利自由现金流低波股债恒定比例10/90(全收益)指数,OTH,中央国债登记结算有限责任公司,其他,20151231,20250725,-40
CBM01401.CS,中债-红利自由现金流低波股债恒定比例15/85(全收益)指数,OTH,中央国债登记结算有限责任公司,其他,20151231,20250725,-40
CBM01501.CS,中债-红利自由现金流低波股债恒定比例20/80(全收益)指数,OTH,中央国债登记结算有限责任公司,其他,20151231,20250725,-40
CBM01601.CS,中债-红利自由现金流低波股债恒定比例25/75(全收益)指数,OTH,中央国债登记结算有限责任公司,其他,20151231,20250725,-40
CBM01701.CS,中债-红利自由现金流低波股债恒定比例30/70(全收益)指数,OTH,中央国债登记结算有限责任公司,其他,20151231,20250725,-40
CBM01801.CS,中债-红利自由现金流低波股债金恒定比例(全收益)指数,OTH,中央国债登记结算有限责任公司,其他,20151231,20250725,-40
CBM01902.CS,中债-红利自由现金流低波股债金恒定比例10/85/5(价格收益)指数,OTH,中央国债登记结算有限责任公司,其他,20151231,20251105,-60
CBM01903.CS,中债-红利自由现金流低波股债金恒定比例10/85/5(混合收益)指数,OTH,中央国债登记结算有限责任公司,其他,20151231,20251105,-60
CBM01202.CS,中债-红利自由现金流低波股债恒定比例5/95(价格收益)指数,OTH,中央国债登记结算有限责任公司,其他,20151231,20250725,-60
CBM01203.CS,中债-红利自由现金流低波股债恒定比例5/95(混合收益)指数,OTH,中央国债登记结算有限责任公司,其他,20151231,20250725,-60
CBM01302.CS,中债-红利自由现金流低波股债恒定比例10/90(价格收益)指数,OTH,中央国债登记结算有限责任公司,其他,20151231,20250725,-60
CBM01303.CS,中债-红利自由现金流低波股债恒定比例10/90(混合收益)指数,OTH,中央国债登记结算有限责任公司,其他,20151231,20250725,-60
CBM01402.CS,中债-红利自由现金流低波股债恒定比例15/85(价格收益)指数,OTH,中央国债登记结算有限责任公司,其他,20151231,20250725,-60
CBM01403.CS,中债-红利自由现金流低波股债恒定比例15/85(混合收益)指数,OTH,中央国债登记结算有限责任公司,其他,20151231,20250725,-60
CBM01502.CS,中债-红利自由现金流低波股债恒定比例20/80(价格收益)指数,OTH,中央国债登记结算有限责任公司,其他,20151231,20250725,-60
CBM01503.CS,中债-红利自由现金流低波股债恒定比例20/80(混合收益)指数,OTH,中央国债登记结算有限责任公司,其他,20151231,20250725,-60
CBM01602.CS,中债-红利自由现金流低波股债恒定比例25/75(价格收益)指数,OTH,中央国债登记结算有限责任公司,其他,20151231,20250725,-60
CBM01603.CS,中债-红利自由现金流低波股债恒定比例25/75(混合收益)指数,OTH,中央国债登记结算有限责任公司,其他,20151231,20250725,-60
CBM01702.CS,中债-红利自由现金流低波股债恒定比例30/70(价格收益)指数,OTH,中央国债登记结算有限责任公司,其他,20151231,20250725,-60
CBM01703.CS,中债-红利自由现金流低波股债恒定比例30/70(混合收益)指数,OTH,中央国债登记结算有限责任公司,其他,20151231,20250725,-60
CBM01802.CS,中债-红利自由现金流低波股债金恒定比例(价格收益)指数,OTH,中央国债登记结算有限责任公司,其他,20151231,20250725,-60
CBM01803.CS,中债-红利自由现金流低波股债金恒定比例(混合收益)指数,OTH,中央国债登记结算有限责任公司,其他,20151231,20250725,-60
