trade_date,932365.CSI,480092.CNI
2012-12-31,,1000.0
2013-01-04,,996.8178
2013-01-07,,1002.3926
2013-01-08,,1002.7489
2013-01-09,,1009.6756
2013-01-10,,1010.125
2013-01-11,,988.5663
2013-01-14,,1013.3235
2013-01-15,,1021.78
2013-01-16,,1014.3441
2013-01-17,,1007.9313
2013-01-18,,1021.9398
2013-01-21,,1033.5111
2013-01-22,,1019.2718
2013-01-23,,1018.0477
2013-01-24,,999.5949
2013-01-25,,999.9956
2013-01-28,,1023.0857
2013-01-29,,1027.7197
2013-01-30,,1031.0249
2013-01-31,,1031.7184
2013-02-01,,1040.0931
2013-02-04,,1047.4696
2013-02-05,,1061.7338
2013-02-06,,1059.333
2013-02-07,,1057.4265
2013-02-08,,1069.5993
2013-02-18,,1071.753
2013-02-19,,1047.9929
2013-02-20,,1061.2918
2013-02-21,,1030.1055
2013-02-22,,1028.1121
2013-02-25,,1033.9542
2013-02-26,,1013.6843
2013-02-27,,1015.6095
2013-02-28,,1040.0854
2013-03-01,,1043.1935
2013-03-04,,1003.9598
2013-03-05,,1017.2798
2013-03-06,,1033.8527
2013-03-07,,1029.4722
2013-03-08,,1023.393
2013-03-11,,1019.9848
2013-03-12,,1002.3571
2013-03-13,,991.4603
2013-03-14,,1004.6394
2013-03-15,,1007.2966
2013-03-18,,991.4125
2013-03-19,,997.0085
2013-03-20,,1017.3925
2013-03-21,,1017.6182
2013-03-22,,1025.926
2013-03-25,,1018.6743
2013-03-26,,1005.5266
2013-03-27,,1002.647
2013-03-28,,984.3487
2013-03-29,,980.5696
2013-04-01,,979.1278
2013-04-02,,978.7107
2013-04-03,,976.5385
2013-04-08,,971.4429
2013-04-09,,975.9084
2013-04-10,,974.8488
2013-04-11,,972.3495
2013-04-12,,967.2113
2013-04-15,,953.7018
2013-04-16,,952.3833
2013-04-17,,957.1079
2013-04-18,,960.0901
2013-04-19,,979.989
2013-04-22,,977.9313
2013-04-23,,952.9363
2013-04-24,,964.2795
2013-04-25,,952.4144
2013-04-26,,941.4376
2013-05-02,,937.7443
2013-05-03,,951.6926
2013-05-06,,966.3398
2013-05-07,,974.0819
2013-05-08,,976.0145
2013-05-09,,972.6824
2013-05-10,,976.3824
2013-05-13,,975.2004
2013-05-14,,961.6046
2013-05-15,,965.4631
2013-05-16,,973.6334
2013-05-17,,992.5838
2013-05-20,,997.0841
2013-05-21,,999.6642
2013-05-22,,992.7137
2013-05-23,,983.7878
2013-05-24,,987.185
2013-05-27,,988.0944
2013-05-28,,999.0684
2013-05-29,,1002.2918
2013-05-30,,998.8976
2013-05-31,,990.5251
2013-06-03,,990.5078
2013-06-04,,973.5987
2013-06-05,,973.3717
2013-06-06,,962.9536
2013-06-07,,946.5774
2013-06-13,,910.8236
2013-06-14,,913.6319
2013-06-17,,905.6243
2013-06-18,,903.4155
2013-06-19,,902.6189
2013-06-20,,878.7286
2013-06-21,,875.2592
2013-06-24,,829.5588
2013-06-25,,825.8921
2013-06-26,,822.177
2013-06-27,,819.7582
2013-06-28,,824.1455
2013-07-01,,828.9553
2013-07-02,,834.6254
2013-07-03,,832.2283
2013-07-04,,846.973
2013-07-05,,846.5118
2013-07-08,,819.187
2013-07-09,,825.9849
2013-07-10,,848.3542
2013-07-11,,880.9946
2013-07-12,,865.4895
2013-07-15,,869.6927
2013-07-16,,875.2128
2013-07-17,,869.4397
2013-07-18,,858.5449
2013-07-19,,835.1861
2013-07-22,,842.6428
2013-07-23,,861.3955
2013-07-24,,858.1647
2013-07-25,,855.9037
